language	testTitle	position	type	topic	prompt	options	correct	pairs
Python	Backend-разработчик	1	SINGLE_CHOICE	Роль и задачи	Что в первую очередь делает специалист «Backend-разработчик»?	A=занимается только настройкой офисной почты|B=только рисует интерфейс в графическом редакторе|C=пишет только тексты для презентаций|D=создает серверную часть: API, бизнес-логику и работу с базой данных	D	
Python	Backend-разработчик	2	SINGLE_CHOICE	Инструменты	Какой инструмент чаще всего подходит для создания REST API на Python?	A=Photoshop|B=Figma|C=Django REST Framework|D=FastAPI	C	
Python	Backend-разработчик	3	SINGLE_CHOICE	Базовые понятия	Что лучше всего описывает понятие «модель»?	A=цветовая палитра приложения|B=случайная ошибка компилятора|C=адрес сайта в браузере|D=описание сущности, которая обычно связана с таблицей БД	D	
Python	Backend-разработчик	4	SINGLE_CHOICE	Базовые понятия	Зачем обычно используют «ORM»?	A=для выбора шрифта интерфейса|B=для сжатия изображений|C=подход, который позволяет работать с таблицами через объекты Python|D=для оплаты подписки	C	
Python	Backend-разработчик	5	SINGLE_CHOICE	Форматы и обмен данными	Какой формат или протокол чаще всего встречается в задачах этой роли?	A=MP3|B=PNG|C=DOCX|D=JSON	D	
Python	Backend-разработчик	6	SINGLE_CHOICE	Зависимости и окружение	Какой инструмент связан с зависимостями или окружением в этой категории?	A=Paint|B=Telegram|C=PowerPoint|D=pip	D	
Python	Backend-разработчик	7	MULTIPLE_CHOICE	Рабочие задачи	Какие задачи относятся к работе «Backend-разработчик»?	A=работать с базой данных|B=описывать бизнес-логику|C=создавать API-эндпоинты|D=рисовать финальные макеты интерфейса	A,B,C	
Python	Backend-разработчик	8	MULTIPLE_CHOICE	Качество работы	Какие действия помогают сделать результат работы надежнее?	A=не отдавать пароль пользователя в ответе API|B=хранить пароль открытым текстом|C=возвращать понятные HTTP-статусы|D=проверять входные данные	A,C,D	
Python	Backend-разработчик	9	MULTIPLE_CHOICE	Инструменты и данные	Какие элементы действительно могут использоваться в работе с Python?	A=Django REST Framework|B=PostgreSQL|C=FastAPI|D=монтаж видео в TikTok	A,B,C	
Python	Backend-разработчик	10	MULTIPLE_CHOICE	Понимание процесса	Что стоит сделать перед тем, как считать задачу готовой?	A=посмотреть, понятен ли результат пользователю|B=удалить проект после запуска|C=проверить работу на тестовых данных|D=убедиться, что нет очевидных ошибок	A,C,D	
Python	Backend-разработчик	11	MULTIPLE_CHOICE	Безопасность и ошибки	Какие действия помогают избежать типичных ошибок junior-разработчика?	A=читать сообщения об ошибках|B=не доверять непроверенным входным данным|C=игнорировать все предупреждения|D=обрабатывать ошибки	A,B,D	
Python	Backend-разработчик	12	MULTIPLE_CHOICE	Командная разработка	Что полезно делать при работе над проектом в команде?	A=менять чужой код без понимания задачи|B=оставлять комментарии там, где логика неочевидна|C=делать небольшие осмысленные изменения|D=писать понятные названия	B,C,D	
